item	cond	subject	rt	region.id	correct_answer	accuracy
10	a	1m8	516	hd4	N	1
10	a	1m8	1390	head	N	1
10	a	1m8	1609	hd3	N	1
10	a	1m8	1000	FreqP	N	1
10	a	1m8	579	DE	N	1
10	a	1m8	734	hd5	N	1
10	a	1m8	1250	Adv	N	1
10	a	2m12	265	hd4	N	1
10	a	2m12	281	Adv	N	1
10	a	2m12	1219	FreqP	N	1
10	a	2m12	266	head	N	1
10	a	2m12	391	hd5	N	1
10	a	2m12	266	hd2	N	1
10	a	2m12	438	Det+CL	N	1
10	a	2m12	360	hd3	N	1
10	a	2m12	406	hd1	N	1
10	a	2m12	562	VN	N	1
10	a	2m12	265	DE	N	1
10	a	2m16	296	hd3	N	1
10	a	2m16	375	FreqP	N	1
10	a	2m16	312	DE	N	1
10	a	2m16	297	hd4	N	1
10	a	2m16	281	head	N	1
10	a	2m16	516	VN	N	1
10	a	2m16	344	Det+CL	N	1
10	a	2m16	266	hd1	N	1
10	a	2m16	266	hd2	N	1
10	a	2m16	313	hd5	N	1
10	a	2m16	265	Adv	N	1
10	a	2m20	328	VN	N	1
10	a	2m20	281	hd1	N	1
10	a	2m20	453	FreqP	N	1
10	a	2m20	375	Det+CL	N	1
10	a	2m20	438	hd4	N	1
10	a	2m20	375	DE	N	1
10	a	2m20	344	Adv	N	1
10	a	2m20	765	hd5	N	1
10	a	2m20	297	head	N	1
10	a	2m20	296	hd2	N	1
10	a	2m20	297	hd3	N	1
10	a	2m4	485	hd5	N	1
10	a	2m4	547	Adv	N	1
10	a	2m4	390	DE	N	1
10	a	2m4	1531	hd3	N	1
10	a	2m4	563	hd2	N	1
10	a	2m4	422	head	N	1
10	a	2m4	437	hd4	N	1
10	a	2m4	531	VN	N	1
10	a	2m4	500	hd1	N	1
10	a	2m4	531	Det+CL	N	1
10	a	2m4	454	FreqP	N	1
10	a	2m8	422	Adv	N	1
10	a	2m8	453	Det+CL	N	1
10	a	2m8	360	hd4	N	1
10	a	2m8	422	head	N	1
10	a	2m8	422	hd1	N	1
10	a	2m8	359	hd3	N	1
10	a	2m8	390	DE	N	1
10	a	2m8	359	hd5	N	1
10	a	2m8	438	VN	N	1
10	a	2m8	453	FreqP	N	1
10	a	2m8	344	hd2	N	1
10	b	1m1	375	hd2	Y	1
10	b	1m1	531	hd5	Y	1
10	b	1m1	360	hd1	Y	1
10	b	1m1	375	Adv	Y	1
10	b	1m1	312	hd4	Y	1
10	b	1m1	422	FreqP	Y	1
10	b	1m1	328	DE	Y	1
10	b	1m1	328	hd3	Y	1
10	b	1m1	312	VN	Y	1
10	b	1m1	344	head	Y	1
10	b	1m1	360	Det+CL	Y	1
10	b	1m13	328	DE	Y	1
10	b	1m13	328	Det+CL	Y	1
10	b	1m13	344	hd3	Y	1
10	b	1m13	296	hd2	Y	1
10	b	1m13	281	head	Y	1
10	b	1m13	343	Adv	Y	1
10	b	1m13	328	FreqP	Y	1
10	b	1m13	282	VN	Y	1
10	b	1m13	282	hd5	Y	1
10	b	1m13	328	hd4	Y	1
10	b	1m13	328	hd1	Y	1
10	b	1m17	266	hd1	Y	1
10	b	1m17	297	hd4	Y	1
10	b	1m17	375	hd3	Y	1
10	b	1m17	328	DE	Y	1
10	b	1m17	297	hd5	Y	1
10	b	1m17	406	Adv	Y	1
10	b	1m17	281	hd2	Y	1
10	b	1m17	313	FreqP	Y	1
10	b	1m17	344	VN	Y	1
10	b	1m17	516	Det+CL	Y	1
10	b	1m17	437	head	Y	1
10	b	1m21	563	FreqP	Y	1
10	b	1m21	313	hd1	Y	1
10	b	1m21	343	hd2	Y	1
10	b	1m21	297	hd3	Y	1
10	b	1m21	281	hd5	Y	1
10	b	1m21	312	DE	Y	1
10	b	1m21	297	hd4	Y	1
10	b	1m21	391	Adv	Y	1
10	b	1m21	359	Det+CL	Y	1
10	b	1m21	437	VN	Y	1
10	b	1m21	344	head	Y	1
10	b	1m25	344	DE	Y	1
10	b	1m25	594	hd2	Y	1
10	b	1m25	500	hd4	Y	1
10	b	1m25	469	hd1	Y	1
10	b	1m25	375	VN	Y	1
10	b	1m25	328	head	Y	1
10	b	1m25	359	Det+CL	Y	1
10	b	1m25	391	Adv	Y	1
10	b	1m25	516	FreqP	Y	1
10	b	1m25	390	hd3	Y	1
10	b	1m25	516	hd5	Y	1
10	b	1m5	265	head	Y	1
